"2014.11.18","05:30","GBP","L","Core CPI y/y","1.5%","1.6%","1.5%","","51732"
"2014.12.16","05:30","GBP","H","CPI y/y","1.0%","1.2%","1.3%","","51738"
"2014.12.16","05:30","GBP","L","Core CPI y/y","1.2%","1.5%","1.5%","","51737"
"2015.01.13","04:30","GBP","H","CPI y/y","0.5%","0.7%","1.0%","","55757"
"2015.01.13","04:30","GBP","L","Core CPI y/y","1.3%","1.4%","1.2%","","55758"
"2015.02.17","04:30","GBP","H","CPI y/y","0.3%","0.3%","0.5%","","55763"
"2015.02.17","04:30","GBP","L","Core CPI y/y","1.4%","1.3%","1.3%","","55762"
"2015.03.24","04:30","GBP","H","CPI y/y","0.0%","0.1%","0.3%","","55768"
"2015.03.24","04:30","GBP","L","Core CPI y/y","1.2%","1.3%","1.4%","","55767"
"2015.04.14","03:30","GBP","H","CPI y/y","0.0%","0.0%","0.0%","","55772"
"2015.04.14","03:30","GBP","L","Core CPI y/y","1.0%","1.2%","1.2%","","55770"
"2015.05.19","03:30","GBP","H","CPI y/y","-0.1%","0.0%","0.0%","","55778"
"2015.05.19","03:30","GBP","L","Core CPI y/y","0.8%","1.0%","1.0%","","55777"
"2015.06.16","03:30","GBP","H","CPI y/y","0.1%","0.1%","-0.1%","","55781"
"2015.06.16","03:30","GBP","L","Core CPI y/y","0.9%","1.0%","0.8%","","55779"
"2015.07.14","03:30","GBP","H","CPI y/y","0.0%","0.0%","0.1%","","55787"
"2015.07.14","03:30","GBP","L","Core CPI y/y","0.8%","0.9%","0.9%","","55788"
"2015.08.18","03:30","GBP","H","CPI y/y","0.1%","0.0%","0.0%","","55794"
"2015.08.18","03:30","GBP","L","Core CPI y/y","1.2%","0.8%","0.8%","","55789"
"2015.09.15","03:30","GBP","H","CPI y/y","0.0%","0.0%","0.1%","","55798"
"2015.09.15","03:30","GBP","L","Core CPI y/y","1.0%","1.0%","1.2%","","55797"
"2015.10.13","03:30","GBP","H","CPI y/y","-0.1%","0.0%","0.0%","","55803"
"2015.10.13","03:30","GBP","L","Core CPI y/y","1.0%","1.1%","1.0%","","55802"
"2015.11.17","04:30","GBP","H","CPI y/y","-0.1%","-0.1%","-0.1%","","55808"
"2015.11.17","04:30","GBP","L","Core CPI y/y","1.1%","1.0%","1.0%","","55807"
"2015.12.15","04:30","GBP","H","CPI y/y","0.1%","0.1%","-0.1%","","55813"
